Gene	NAD.count	total.count
AT1G22200.2	NA	NA
AT1G22410.1	NA	NA
AT1G22450.1	NA	NA
AT1G22470.1	NA	NA
AT1G22510.1	NA	NA
AT1G22510.2	NA	NA
AT1G22530.1	NA	NA
AT1G22530.2	NA	NA
AT1G22610.1	NA	NA
AT1G22620.1	NA	NA
AT1G22630.1	NA	NA
AT1G22690.1	NA	NA
AT1G22690.2	NA	NA
AT1G22690.3	NA	NA
AT1G22840.1	NA	NA
AT1G22840.2	NA	NA
AT1G22850.1	NA	NA
AT1G22850.2	NA	NA
AT1G22870.1	NA	NA
AT1G22870.2	NA	NA
AT1G22870.3	NA	NA
AT1G22870.4	NA	NA
